Id,SalePrice
1461,144193.213759071
1462,187789.6692595736
1463,193090.8560263347
1464,204808.58890437073
1465,171203.4191651843
1466,184430.323770835
1467,179501.86458971832
1468,162272.78608872695
1469,197199.4194746452
1470,132885.685470072
1471,143779.30650715856
1472,107440.75317442066
1473,115537.58225770252
1474,153095.53762943935
1475,116033.87293246896
1476,354049.9675630806
1477,244513.60604748962
1478,302690.1056082969
1479,289592.12131664384
1480,487092.5230713776
1481,359296.77415658854
1482,181100.50250903904
1483,193667.02204799923
1484,179266.286136012
1485,193894.1472540196
1486,196564.815681056
1487,370224.00507859257
1488,200666.35038516682
1489,206965.50566425637
1490,262939.88715373457
1491,211124.56724917568
1492,109328.12497401486
1493,194254.7649868393
1494,276707.2238142535
1495,278739.03860721266
1496,259501.68039984792
1497,170347.90415148364
1498,178768.35136420405
1499,168039.91423224754
1500,160780.23115444777
1501,171646.59078393262
1502,160550.28685273865
1503,264373.2036474397
1504,248426.2711700081
1505,234950.68885290663
1506,202676.30709462683
1507,262271.2875338637
1508,194794.4770501922
1509,164911.87727348015
1510,154876.2603729517
1511,165529.37207486815
1512,171190.03627198533
1513,143399.10215153798
1514,147633.8524365373
1515,195101.7804754042
1516,127932.70431103645
1517,170687.13514833094
1518,135565.26391446966
1519,238136.92570737994
1520,124115.17397831811
1521,142332.68592860847
1522,170259.5010023277
1523,119279.49969498385
1524,117944.15044140756
1525,117355.93292739036
1526,105411.01268844695
1527,115575.04644464342
1528,127257.82460627446
1529,163071.06504744053
1530,202330.09303333887
1531,115097.7302477904
1532,94364.98749410144
1533,138220.7692784293
1534,141745.50363248537
1535,136231.42953286762
1536,102008.01981444142
1537,74350.44892012714
1538,142135.93901049485
1539,164391.35571467108
1540,107576.2784928605
1541,156839.894604368
1542,145314.8009965703
1543,188274.83840679392
1544,93609.24685736165
1545,131286.401911072
1546,142601.21299294903
1547,114547.43567264554
1548,149331.5917087704
1549,132362.92656687775
1550,144532.28261701367
1551,99502.42799784838
1552,152603.12197224202
1553,149920.6753660275
1554,116775.37259079634
1555,179383.02860469342
1556,84245.32081309891
1557,115851.11339846018
1558,112548.18740199912
1559,109381.55374545665
1560,135021.5044689382
1561,128192.3926790054
1562,128018.5362020187
1563,126548.02761724104
1564,153682.9345568541
1565,164202.5334166154
1566,225196.18632819084
1567,62426.53348152933
1568,241601.28012988053
1569,155091.54356213284
1570,158230.6218403297
1571,106843.81386891374
1572,144703.44065690544
1573,258288.83671997505
